gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,norm_writing_score,norm_math_score,norm_reading_score
female,group B,bachelor's degree,standard,none,72,72,74,0.3912960127848863,0.3898284492710443,0.19390156048406051
female,group C,some college,standard,completed,69,90,88,1.312611885470458,0.191979464697684,1.426762065151346
female,group B,master's degree,standard,none,90,95,93,1.641653268572448,1.576922356711206,1.7692233164478142
male,group A,associate's degree,free/reduced,none,47,57,44,-1.5829522858270533,-1.2589130888402913,-0.8334821934053441
male,group C,some college,standard,none,76,78,75,0.4571042894052843,0.653627095368858,0.6048550620398223
female,group B,associate's degree,standard,none,71,83,78,0.6545291192664783,0.32387878774659085,0.9473163133362905
female,group B,some college,standard,completed,88,95,92,1.57584499195205,1.4450230336622991,1.7692233164478142
male,group B,some college,free/reduced,none,40,43,39,-1.9119936689290433,-1.7205607195114654,-1.7923736970354551
male,group D,high school,free/reduced,completed,64,64,67,-0.06936192355789961,-0.1377688429245831,-0.35403644159028863
female,group B,high school,free/reduced,none,38,60,50,-1.1881026261046654,-1.852460042560372,-0.6280054426274632
male,group C,associate's degree,standard,none,58,54,52,-1.0564860728638694,-0.5334668120713036,-1.038958944183225
male,group D,associate's degree,standard,none,40,52,43,-1.6487605624474513,-1.7205607195114654,-1.1759434447018122
female,group B,high school,standard,none,65,81,73,0.3254877361644883,-0.07181918140012969,0.8103318128177033
male,group A,some college,standard,completed,78,72,70,0.12806290630329434,0.7855264184177648,0.19390156048406051
female,group A,master's degree,standard,none,50,53,58,-0.6616364131414815,-1.061064104266931,-1.1074511944425187
female,group C,some high school,standard,none,69,75,78,0.6545291192664783,0.191979464697684,0.3993783112619414
male,group C,high school,standard,none,88,89,86,1.1809953322296622,1.4450230336622991,1.3582698148920525
female,group B,some high school,free/reduced,none,18,32,28,-2.635884711753421,-3.171453273049441,-2.5457884498876853
male,group C,master's degree,free/reduced,completed,46,42,46,-1.4513357325862573,-1.3248627503647448,-1.8608659472947486
female,group C,associate's degree,free/reduced,none,54,58,61,-0.46421158328028755,-0.7972654581691174,-0.7649899431460504
male,group D,high school,standard,none,66,69,63,-0.3325950300394916,-0.005869519875676265,-0.011575190293820415
female,group B,some college,free/reduced,completed,65,75,70,0.12806290630329434,-0.07181918140012969,0.3993783112619414
male,group D,some college,standard,none,44,54,53,-0.9906777962434714,-1.4567620734136517,-1.038958944183225
female,group C,some high school,standard,none,69,73,73,0.3254877361644883,0.191979464697684,0.26239381074335416
male,group D,bachelor's degree,free/reduced,completed,74,71,80,0.7861456725072742,0.5217277723199512,0.12540931022476687
male,group A,master's degree,free/reduced,none,73,74,72,0.25967945954409033,0.45577811079549774,0.3308860610026478
male,group B,some college,standard,none,69,54,55,-0.8590612430026755,0.191979464697684,-1.038958944183225
female,group C,bachelor's degree,standard,none,67,69,75,0.4571042894052843,0.06008014164877716,-0.011575190293820415
male,group C,high school,standard,none,70,70,65,-0.2009784767986956,0.25792912622213743,0.05691705996547323
female,group D,master's degree,standard,none,62,70,75,0.4571042894052843,-0.26966816597348997,0.05691705996547323
female,group D,some college,standard,none,69,74,74,0.3912960127848863,0.191979464697684,0.3308860610026478
female,group B,some college,standard,none,63,65,61,-0.46421158328028755,-0.20371850444903655,-0.28554419133099496
female,group E,master's degree,free/reduced,none,56,72,65,-0.2009784767986956,-0.6653661351202105,0.19390156048406051
male,group D,some college,standard,none,40,42,38,-1.9778019455494413,-1.7205607195114654,-1.8608659472947486
male,group E,some college,standard,none,97,87,82,0.9177622257480702,2.03856998738238,1.221285314373465
male,group E,associate's degree,standard,completed,81,81,79,0.7203373958868763,0.9833754029911251,0.8103318128177033
female,group D,associate's degree,standard,none,74,81,83,0.9835705023684682,0.5217277723199512,0.8103318128177033
female,group D,some high school,free/reduced,none,50,64,59,-0.5958281365210835,-1.061064104266931,-0.35403644159028863
female,group D,associate's degree,free/reduced,completed,75,90,88,1.312611885470458,0.5876774338444046,1.426762065151346
male,group B,associate's degree,free/reduced,none,57,56,57,-0.7274446897618795,-0.5994164735957571,-0.9019744436646377
male,group C,associate's degree,free/reduced,none,55,61,54,-0.9248695196230734,-0.731315796644664,-0.5595131923681695
female,group C,associate's degree,standard,none,58,73,68,-0.003553646937501626,-0.5334668120713036,0.26239381074335416
female,group B,associate's degree,standard,none,53,58,65,-0.2009784767986956,-0.8632151196935708,-0.7649899431460504
male,group B,some college,free/reduced,completed,59,65,66,-0.1351702001782976,-0.4675171505468502,-0.28554419133099496
female,group E,associate's degree,free/reduced,none,50,56,54,-0.9248695196230734,-1.061064104266931,-0.9019744436646377
male,group B,associate's degree,standard,none,65,54,57,-0.7274446897618795,-0.07181918140012969,-1.038958944183225
female,group A,associate's degree,standard,completed,55,65,62,-0.39840330665988954,-0.731315796644664,-0.28554419133099496
female,group C,high school,standard,none,66,71,76,0.5229125660256823,-0.005869519875676265,0.12540931022476687
female,group D,associate's degree,free/reduced,completed,57,74,76,0.5229125660256823,-0.5994164735957571,0.3308860610026478
male,group C,high school,standard,completed,82,84,82,0.9177622257480702,1.0493250645155785,1.0158085635955842
male,group E,some college,standard,none,53,55,48,-1.3197191793454615,-0.8632151196935708,-0.9704666939239314
male,group E,associate's degree,free/reduced,completed,77,69,68,-0.003553646937501626,0.7195767568933115,-0.011575190293820415
male,group C,some college,standard,none,53,44,42,-1.7145688390678493,-0.8632151196935708,-1.7238814467761614
male,group D,high school,standard,none,88,78,75,0.4571042894052843,1.4450230336622991,0.6048550620398223
female,group C,some high school,free/reduced,completed,71,84,87,1.24680360885006,0.32387878774659085,1.0158085635955842
female,group C,high school,free/reduced,none,33,41,43,-1.6487605624474513,-2.1822083501826395,-1.9293581975540424
female,group E,associate's degree,standard,completed,82,85,86,1.1809953322296622,1.0493250645155785,1.0843008138548778
male,group D,associate's degree,standard,none,52,55,49,-1.2539109027250634,-0.9291647812180243,-0.9704666939239314
male,group D,some college,standard,completed,58,59,58,-0.6616364131414815,-0.5334668120713036,-0.6964976928867568
female,group C,some high school,free/reduced,none,0,17,10,-3.8204336909205847,-4.3585471804896025,-3.57317220377709
male,group E,bachelor's degree,free/reduced,completed,79,74,72,0.25967945954409033,0.8514760799422183,0.3308860610026478
male,group A,some high school,free/reduced,none,39,39,34,-2.2410350520310334,-1.7865103810359189,-2.0663426980726296
male,group A,associate's degree,free/reduced,none,62,61,55,-0.8590612430026755,-0.26966816597348997,-0.5595131923681695
female,group C,associate's degree,standard,none,69,80,71,0.19387118292369235,0.191979464697684,0.7418395625584097
female,group D,some high school,standard,none,59,58,59,-0.5958281365210835,-0.4675171505468502,-0.7649899431460504
male,group B,some high school,standard,none,67,64,61,-0.46421158328028755,0.06008014164877716,-0.35403644159028863
male,group D,some high school,free/reduced,none,45,37,37,-2.043610222169839,-1.3908124118891982,-2.203327198591217
female,group C,some college,standard,none,60,72,74,0.3912960127848863,-0.4015674890223968,0.19390156048406051
